##X¡¢Y unit mm	
Param	XOffset=3	  YOffset=5.5	XSpan=.66	YSpan=.66	Rotate=0	Mirror=1	ZoomScale=10
##TID(%03d)	I(%02d)	J(%02d)	X(%5.2f)	Y(%5.2f)
764	11	24	 6.66	15.32
765	11	25	 6.66	15.98
766	11	26	 6.66	16.65
767	11	27	 6.66	17.32
768	11	28	 6.66	17.98
769	11	29	 6.66	18.65
770	11	30	 6.66	19.31
771	11	31	 6.66	19.98
772	11	32	 6.66	20.65
773	11	33	 6.66	21.31
774	11	34	 6.66	21.98
775	11	35	 6.66	22.64
776	11	36	 6.66	23.31
777	11	37	 6.66	23.98
778	11	38	 6.66	24.64
779	11	39	 6.66	25.31
780	11	40	 6.66	25.97
781	11	41	 6.66	26.64
782	11	42	 6.66	27.31
783	11	43	 6.66	27.97
784	11	44	 6.66	28.64
785	11	45	 6.66	29.30
786	11	46	 6.66	29.97
787	11	47	 6.66	30.64
788	11	48	 6.66	31.30
789	11	49	 6.66	31.97
790	11	50	 6.66	32.63
791	11	51	 6.66	33.30
792	11	52	 6.66	33.97
793	11	53	 6.66	34.63
794	11	54	 6.66	35.30
795	11	55	 6.66	35.96
796	11	56	 6.66	36.63
797	11	57	 6.66	37.30
798	11	58	 6.66	37.96
799	11	59	 6.66	38.63
800	11	60	 6.66	39.29
801	11	61	 6.66	39.96
802	11	62	 6.66	40.63
803	11	63	 6.66	41.29
804	11	64	 6.66	41.96
805	11	65	 6.66	42.62
806	11	66	 6.66	43.29
807	11	67	 6.66	43.96
808	11	68	 6.66	44.62
809	11	69	 6.66	45.29
810	11	70	 6.66	45.95
811	11	71	 6.66	46.62
812	11	72	 6.66	47.29
813	11	73	 6.66	47.95
814	11	74	 6.66	48.62
815	12	1	 7.33	 0.00
816	12	2	 7.33	 0.67
817	12	3	 7.33	 1.33
818	12	4	 7.33	 2.00
819	12	5	 7.33	 2.66
820	12	6	 7.33	 3.33
821	12	7	 7.33	 4.00
822	12	8	 7.33	 4.66
823	12	9	 7.33	 5.33
824	12	10	 7.33	 5.99
825	12	11	 7.33	 6.66
826	12	12	 7.33	 7.33
827	12	13	 7.33	 7.99
828	12	14	 7.33	 8.66
829	12	15	 7.33	 9.32
830	12	16	 7.33	 9.99
831	12	17	 7.33	10.66
832	12	18	 7.33	11.32
833	12	19	 7.33	11.99
834	12	20	 7.33	12.65
835	12	21	 7.33	13.32
836	12	22	 7.33	13.99
837	12	23	 7.33	14.65
838	12	24	 7.33	15.32
839	12	25	 7.33	15.98
840	12	26	 7.33	16.65
841	12	27	 7.33	17.32
842	12	28	 7.33	17.98
843	12	29	 7.33	18.65
844	12	30	 7.33	19.31
845	12	31	 7.33	19.98
846	12	32	 7.33	20.65
847	12	33	 7.33	21.31
848	12	34	 7.33	21.98
849	12	35	 7.33	22.64
850	12	36	 7.33	23.31
851	12	37	 7.33	23.98
852	12	38	 7.33	24.64
853	12	39	 7.33	25.31
854	12	40	 7.33	25.97
855	12	41	 7.33	26.64
856	12	42	 7.33	27.31
857	12	43	 7.33	27.97
858	12	44	 7.33	28.64
859	12	45	 7.33	29.30
860	12	46	 7.33	29.97
861	12	47	 7.33	30.64
862	12	48	 7.33	31.30
863	12	49	 7.33	31.97
864	12	50	 7.33	32.63
865	12	51	 7.33	33.30
866	12	52	 7.33	33.97
867	12	53	 7.33	34.63
868	12	54	 7.33	35.30
869	12	55	 7.33	35.96
870	12	56	 7.33	36.63
871	12	57	 7.33	37.30
872	12	58	 7.33	37.96
873	12	59	 7.33	38.63
874	12	60	 7.33	39.29
